id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
1421,"back pain, joint pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,Mp7PBWUC,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Manish Agarwal,ACgxVVaI
1422,"headache, allergy, sinus",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,TPaaHuB6,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Karan Singh,oj3AzbSN
1423,"gout, ulcer",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,jpXwXC5o,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Rohit Gupta,RDANjAw5
1424,"gout, blood impure, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,725BVhgg,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Manish Agarwal,GK3sJW8m
1425,"eczema, acidity, allergy",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,FBAwXAGA,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Suresh Pillai,g25AwXNi
1426,"psoriasis, liver problem",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,EoH3QJhj,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Karan Singh,XUME8OEC
1427,"kapha disorder, asthma, obesity",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,DL8MXTAX,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Ritu Malhotra,RFRchjPM
1428,"kapha disorder, respiratory issue, cough",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,uZKyq6Tj,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Pooja Nair,EaAjADkc
1429,inflammation,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,0r2YirVE,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Neha Verma,bSSBmoS6
1430,"skin boils, acne, gout",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,GWXaXUkL,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Vivek Rao,HJtthWYk
1431,"allergy, stuffy nose",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,AMK1vQDx,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Sneha Iyer,M44Cfh9e
1432,"respiratory issue, obesity",Vaidya Lata More,Vamana,vaidya.lata.more,HHdcjJ5W,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Aditi Sharma,pAy2y67F
1433,"constipation, arthritis, indigestion",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,x6Upgo4Q,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Karan Singh,e87jz513
1434,"joint pain, gastric problem, back pain",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,5LtVDIhE,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Kavita Bansal,YdAxuxoz
1435,joint pain,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,EAbxoFCb,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Arjun Kapoor,Z9DyqpUT
1436,"constipation, indigestion",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,veZEsaKj,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Manish Agarwal,groj4VwY
1437,"asthma, obesity, cough",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,ydjP8WSb,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Suresh Pillai,OEkm9lW4
1438,"gout, inflammation, ulcer",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,gLkutIHQ,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Sneha Iyer,Idthgz7j
1439,"respiratory issue, obesity, kapha disorder",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,jjqe7g9F,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Manish Agarwal,u112VSxa
1440,eczema,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,UpvCdP4z,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Suresh Pillai,gg76BRxC
1441,"skin rashes, allergy, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,fTAlDzPk,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rajesh Mehta,rJdFTX9D
1442,constipation,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,ouRqB6yQ,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Sneha Iyer,0LFsJ3mJ
1443,"headache, allergy, cold",Vaidya Priya Nair,Nasya,vaidya.priya.nair,eYs4mkYD,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Karan Singh,12vMALV4
1444,allergy,Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,3xmxioDn,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Aditi Sharma,yowLI4QX
1445,nose block,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,oYbU6rEM,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Karan Singh,x843p3Pj
1446,"obesity, cough, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,COsWDdQw,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rajesh Mehta,bC9USZjO
1447,pimples,Vaidya Seema Verma,Virechana,vaidya.seema.verma,NznRdUk9,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Karan Singh,mfpAjNmC
1448,asthma,Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,NcWA9hoK,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Karan Singh,gkZuREp3
1449,"headache, sinus, allergy",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,eNYic48f,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Anjali Das,HsakOMUp
1450,"asthma, respiratory issue",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,3Ibiuj33,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Suresh Pillai,GPIff05Y
1451,"bronchitis, asthma",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,dxWIhmx4,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Ritu Malhotra,Bbra3E43
1452,joint pain,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,4QkOxpmU,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Ritu Malhotra,h0nUQCZT
1453,"kapha disorder, respiratory issue, asthma",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,I88KWsNa,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Sneha Iyer,BFcH6ofO
1454,"back pain, constipation, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,75Pv9MZs,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Pooja Nair,K0TVGbWA
1455,"indigestion, arthritis, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,U4kt6Mg1,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Pooja Nair,NE06H1N4
1456,"gastric problem, indigestion",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,GK6yfjhY,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Arjun Kapoor,p66tb5ye
1457,"inflammation, skin boils",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,5VoWsTYS,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Aditi Sharma,CacWFcP9
1458,"stuffy nose, sinus, headache",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,dklW49gu,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Suresh Pillai,zeLTKJmr
1459,"skin rashes, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,kopt7qfU,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Rajesh Mehta,t07l0IBI
1460,constipation,Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,P1MFWrfx,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Rohit Gupta,OanfaXwD
1461,asthma,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,IYPre84V,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Anjali Das,E5JRpLm6
1462,"constipation, arthritis",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,2n0wORZN,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Pooja Nair,23mUbmKQ
1463,"back pain, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,rlqmHc0u,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Ritu Malhotra,OFPZoZng
1464,"allergy, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,ci8BnNsn,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Anjali Das,N9DbxDal
1465,allergy,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,GmVyBwhO,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Kavita Bansal,DyDFDFgw
1466,liver problem,Vaidya Seema Verma,Virechana,vaidya.seema.verma,ai8Cbj65,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Manish Agarwal,F2GyOrqg
1467,"constipation, joint pain, back pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,H5izSoda,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Suresh Pillai,IKjycAoA
1468,"skin boils, ulcer, acne",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,TcwXjuka,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Aditi Sharma,NVxUZJmM
1469,allergy,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,JNOq5Zo0,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Karan Singh,DdnLa0A3
1470,respiratory issue,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,63IdaU9o,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Pooja Nair,K0zuumlY
1471,obesity,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,TbA6G6zb,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Suresh Pillai,4zdM7cwL
1472,stuffy nose,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,6DpfljPy,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Suresh Pillai,eNoX5j1v
1473,"arthritis, indigestion",Vaidya Seema Verma,Basti,vaidya.seema.verma,VLPXQqrg,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Neha Verma,M6PU2fFP
1474,migraine,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,qYATEc1p,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Sneha Iyer,oOZDYoTa
1475,"ulcer, acne, blood impure",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,Fd3mEmtD,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Kavita Bansal,vDdaW4N7
1476,"kapha disorder, bronchitis",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,4RwYDpVZ,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Ritu Malhotra,gRvRQpWL
1477,skin rashes,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,kt0qBW6W,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Kavita Bansal,IiK5vjOj
1478,"cough, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,iQ9t88h2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Manish Agarwal,wxSsh9RO
1479,"ulcer, acne, skin boils",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,tQwAV3PS,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Suresh Pillai,CE6czvDY
1480,"psoriasis, pimples",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,E12EVz41,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Karan Singh,oWXt9MZ5
1481,"cough, asthma, kapha disorder",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,FeVeDamD,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Ritu Malhotra,0jAx5WyA
1482,"gout, inflammation",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,UFCpw4oq,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Suresh Pillai,hIpfpa4v
1483,"skin boils, gout",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,ErbYPbxO,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Rajesh Mehta,NS33Nm1l
1484,"arthritis, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,aRP2h6QV,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Suresh Pillai,w29JGQJX
1485,"asthma, respiratory issue, bronchitis",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,XNskS0c5,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Vivek Rao,CUKsaVdr
1486,blood impure,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,wWXOAF8p,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Suresh Pillai,NzUUBAtb
1487,"inflammation, gout",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,ZzIncmEc,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Anjali Das,VYJI43hE
1488,"acne, skin boils",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,NBo2ZjTU,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,oboDUb5Z
1489,stuffy nose,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,3lDvVBcs,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rajesh Mehta,IZqJ3v92
1490,"liver problem, pimples, skin rashes",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,sc47XWhA,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Karan Singh,o214dP9Q
1491,"obesity, bronchitis",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,CIWk03wu,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rohit Gupta,LShbzDRH
1492,"eczema, skin rashes, psoriasis",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,gPWl4lTt,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Suresh Pillai,ICFvpRDY
1493,"arthritis, indigestion, gastric problem",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,oYF8shEw,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Aditi Sharma,AUT3cx7u
1494,ulcer,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,THAZw025,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Arjun Kapoor,dK8chx3A
1495,sinus,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,sCmFWi6r,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Sneha Iyer,1ao0sfTZ
1496,"indigestion, arthritis, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,QbOpyHkV,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Rajesh Mehta,OuwIjfpK
1497,"allergy, eczema, pimples",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,UsFnXsS6,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Ritu Malhotra,PYUPWRC2
1498,"sinus, nose block, migraine",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,TCP5ZeNG,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Rajesh Mehta,5kSWiy6b
1499,"indigestion, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,aAnrrJsY,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Karan Singh,OEhCXm4Y
1500,"indigestion, back pain",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,Bg5xOYOU,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Anjali Das,whXKmXhm
1501,"cough, asthma",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,LUWDw2bx,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Anjali Das,d1ugty5T
1502,"liver problem, psoriasis, pimples",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,TnKReFkk,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Neha Verma,nhhzoBpg
1503,headache,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ovR6uyZJ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Arjun Kapoor,A8ZSydDG
1504,"constipation, gastric problem",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,TesULCki,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Ritu Malhotra,Zr9VF1P5
1505,"indigestion, constipation, back pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,sE7vUweR,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Aditi Sharma,73XVxQGi
1506,"allergy, psoriasis, pimples",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,CXhoJaly,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Aditi Sharma,4yttzrZY
1507,constipation,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,sbald8S9,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Neha Verma,3SICcRDo
1508,"gastric problem, back pain, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,OSzHrEiw,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Karan Singh,F1IM6N8g
1509,"cold, migraine, headache",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,va41ds84,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Rohit Gupta,WoSt2S9D
1510,"sinus, cold",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ASpIZjm1,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Kavita Bansal,0en3EsAk
1511,allergy,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,ReR3DUoB,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Manish Agarwal,PbhY5a70
1512,"eczema, acidity, psoriasis",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,8sPOPnlH,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Priya Reddy,gjijxZdz
1513,"allergy, acidity, eczema",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,M8nn55XG,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Anjali Das,naFmo5X3
1514,"migraine, nose block",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,LnEiAfpW,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Neha Verma,ex42odFN
1515,"gastric problem, arthritis, constipation",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,9rYfcMJi,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Priya Reddy,2ztZJuYU
1516,"arthritis, back pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,CU4jUQwQ,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Ritu Malhotra,xJWdXImv
1517,"cough, obesity",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,gyQDefCv,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,hcwnxMu2
1518,blood impure,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,F7KKrPUh,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Anjali Das,McXTh2Ob
1519,"gout, ulcer",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,8ecT1kdd,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Arjun Kapoor,Bk9cHZhA
1520,"stuffy nose, migraine, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,tpjfD7x8,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Ritu Malhotra,H1afbfaf
1521,"gastric problem, joint pain, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,QkM8mjL7,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Pooja Nair,EWwZWvFq
1522,"obesity, asthma",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,ciXJZxjy,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Anjali Das,BZIawdbH
1523,"psoriasis, skin rashes, eczema",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,GJ65n3IW,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Neha Verma,5es8FOD5
1524,"joint pain, constipation, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,iuFyCmRU,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Vivek Rao,eFgpyKJA
1525,gastric problem,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,AmYfXCha,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,9dfEkF4L
